"Number of Particles" "Step time" "Emission time" "LBM step time" "Update time"
100 0.158856 3.6e-05 0.158658 0.000162
200 0.160369 1.8e-05 0.159773 0.000578
300 0.160939 1.7e-05 0.159596 0.001326
400 0.161797 1.7e-05 0.159542 0.002238
500 0.16776 1.6e-05 0.164303 0.003441
600 0.163669 1.7e-05 0.1587 0.004952
700 0.165362 1.8e-05 0.158643 0.006701
800 0.167375 1.7e-05 0.158663 0.008695
900 0.16966 1.9e-05 0.158655 0.010986
1000 0.172246 1.7e-05 0.158634 0.013595
1100 0.175701 1.7e-05 0.15939 0.016294
1200 0.182135 1.7e-05 0.162721 0.019397
1300 0.181398 1.7e-05 0.158592 0.022789
1400 0.185087 1.7e-05 0.158776 0.026294
1500 0.188883 1.7e-05 0.158624 0.030242
1600 0.193141 1.7e-05 0.158649 0.034475
1700 0.19753 1.6e-05 0.158687 0.038827
1800 0.202092 1.7e-05 0.158569 0.043506
1900 0.207121 1.7e-05 0.158664 0.04844
2000 0.212241 1.7e-05 0.158623 0.053601
2100 0.223213 1.7e-05 0.16411 0.059086
2200 0.223544 1.7e-05 0.158785 0.064742
2300 0.229423 1.6e-05 0.158621 0.070786
2400 0.235717 1.6e-05 0.15865 0.077051
2500 0.242289 1.7e-05 0.158534 0.083738
2600 0.249149 1.7e-05 0.158624 0.090508
2700 0.256144 1.6e-05 0.158608 0.09752
2800 0.263566 1.7e-05 0.158655 0.104894
2900 0.271046 1.6e-05 0.158565 0.112465
3000 0.283016 1.6e-05 0.162709 0.120291
3100 0.286979 1.7e-05 0.158514 0.128448
3200 0.295379 1.7e-05 0.158608 0.136754
3300 0.308989 1.7e-05 0.163718 0.145254
3400 0.314701 1.6e-05 0.160982 0.153703
3500 0.324131 1.6e-05 0.16096 0.163155
3600 0.333834 1.6e-05 0.160998 0.17282
3700 0.343019 1.6e-05 0.161006 0.181997
3800 0.353442 1.6e-05 0.161082 0.192344
3900 0.36379 1.7e-05 0.161141 0.202632
4000 0.37385 2.7e-05 0.161148 0.212675
4100 0.385325 2.7e-05 0.161165 0.224133
4200 0.398546 2.3e-05 0.161162 0.237361
4300 0.407126 2.7e-05 0.161177 0.245922
4400 0.420369 2.9e-05 0.161296 0.259044
4500 0.431063 2.6e-05 0.161353 0.269684
4600 0.442796 2.4e-05 0.161371 0.281401
4700 0.456239 2.5e-05 0.161967 0.294247
4800 0.468647 3.2e-05 0.161466 0.307149
4900 0.481403 2.4e-05 0.161981 0.319398
5000 0.494231 3e-05 0.161583 0.332618
5100 0.510289 3.2e-05 0.161521 0.348736
5200 0.519338 2.9e-05 0.158744 0.360565
5300 0.533244 2.8e-05 0.158754 0.374462
5400 0.551494 3.1e-05 0.158677 0.392786
5500 0.564788 2.6e-05 0.162693 0.402069
5600 0.578887 2.7e-05 0.161757 0.417103
5700 0.593696 2.4e-05 0.161888 0.431784
5800 0.612425 2.7e-05 0.161899 0.450499
5900 0.626863 2.8e-05 0.158753 0.468082
6000 0.640829 2.4e-05 0.162246 0.478559
6100 0.656914 2.6e-05 0.16208 0.494808
6200 0.673428 3e-05 0.162214 0.511184
6300 0.690961 3.4e-05 0.163292 0.527635
6400 0.707939 2.4e-05 0.162114 0.545801
6500 0.724001 2.6e-05 0.162096 0.561879
6600 0.741259 2.6e-05 0.162156 0.579077
6700 0.758755 2.6e-05 0.162084 0.596645
6800 0.778295 2.4e-05 0.162099 0.616172
6900 0.796608 2.9e-05 0.162105 0.634474
7000 0.813561 2.6e-05 0.162165 0.65137
7100 0.832469 2.6e-05 0.162379 0.670064
7200 0.852199 2.5e-05 0.162579 0.689595
7300 0.886475 2.6e-05 0.162134 0.724315
7400 0.906808 3.4e-05 0.162095 0.744679
7500 0.928432 2.8e-05 0.162131 0.766273
7600 0.946501 2.7e-05 0.162115 0.784359
7700 0.967389 2.6e-05 0.162118 0.805245
7800 0.990006 2.6e-05 0.162118 0.827862
7900 1.00789 2.4e-05 0.162172 0.845692
8000 1.03044 2.9e-05 0.162171 0.86824
8100 1.0526 2.6e-05 0.162116 0.890459
8200 1.07437 2.8e-05 0.162162 0.912183
8300 1.09606 2.4e-05 0.162172 0.933862
8400 1.11902 2.7e-05 0.162193 0.956805
8500 1.1413 3.3e-05 0.162289 0.978981
8600 1.16619 2.7e-05 0.162306 1.00386
8700 1.18757 2.9e-05 0.162713 1.02483
8800 1.21268 2.7e-05 0.1623 1.05035
8900 1.24475 2.6e-05 0.162864 1.08186
9000 1.25728 2.4e-05 0.162281 1.09497
9100 1.28451 2.7e-05 0.162298 1.12218
9200 1.30698 2.6e-05 0.162446 1.14451
9300 1.33366 2.7e-05 0.162333 1.1713
9400 1.36397 2.4e-05 0.162704 1.20124
9500 1.38983 2.6e-05 0.162361 1.22744
9600 1.41607 3e-05 0.162356 1.25368
9700 1.44134 2.6e-05 0.162461 1.27885
9800 1.46827 2.5e-05 0.159962 1.30828
9900 1.49244 3.4e-05 0.160109 1.3323
10000 1.52168 2.6e-05 0.160009 1.36164
