"Number of Particles" "Sprites per particle" "Step time" "Emission time" "Rendering time" "LBM step time" "Update time" "FPS"
10 8 0.022999 0.000475 0.001627 0.020856 4.1e-05 1
20 8 0.025338 0.000784 0.002124 0.022354 7.6e-05 1
30 8 0.025499 0.000488 0.003237 0.021661 0.000113 1
40 8 0.02658 0.000671 0.004515 0.02124 0.000154 1
50 8 0.0281 0.000662 0.005449 0.021797 0.000192 1
60 8 0.028655 0.000684 0.006884 0.02085 0.000237 1
70 8 0.030514 0.000673 0.008671 0.020884 0.000286 1
80 8 0.031271 0.000593 0.008383 0.021966 0.000329 1
90 8 0.031383 0.000613 0.009434 0.020946 0.00039 1
100 8 0.032332 0.000622 0.01036 0.020898 0.000452 1
110 8 0.0336 0.000606 0.011429 0.021065 0.0005 1
120 8 0.034515 0.000589 0.012464 0.020894 0.000568 1
130 8 0.035746 0.000631 0.013647 0.020836 0.000632 1
140 8 0.037738 0.000588 0.014659 0.021755 0.000736 1
150 8 0.037836 0.000589 0.015644 0.020833 0.00077 1
160 8 0.039122 0.000613 0.016814 0.020862 0.000833 1
170 8 0.040406 0.000611 0.018024 0.020864 0.000907 1
180 8 0.041444 0.000612 0.018942 0.020883 0.001007 1
190 8 0.042727 0.000592 0.020129 0.020898 0.001108 1
200 8 0.043931 0.000615 0.021268 0.020838 0.00121 1
210 8 0.044996 0.00061 0.022025 0.021024 0.001337 1
220 8 0.046035 0.000438 0.023315 0.02089 0.001392 1
230 8 0.04776 0.000599 0.024799 0.020856 0.001506 1
240 8 0.048531 0.000612 0.025414 0.020893 0.001612 1
250 8 0.050501 0.000619 0.026137 0.020842 0.002903 1
260 8 0.05272 0.000914 0.029064 0.020907 0.001835 1
270 8 0.051569 0.00056 0.028222 0.020838 0.001949 1
280 8 0.05307 0.000694 0.029364 0.020934 0.002078 1
290 8 0.054138 0.000611 0.030474 0.020865 0.002188 1
300 8 0.055264 0.000615 0.031478 0.020842 0.002329 1
310 8 0.056462 0.000613 0.032465 0.020924 0.00246 1
320 8 0.057458 0.00062 0.033392 0.020842 0.002604 1
330 8 0.058962 0.000614 0.034685 0.020866 0.002797 1
340 8 0.059874 0.000608 0.035545 0.020834 0.002887 1
350 8 0.062742 0.000607 0.038245 0.020859 0.003031 1
360 8 0.062368 0.000603 0.037679 0.020901 0.003185 24
370 8 0.063676 0.000608 0.03883 0.020842 0.003396 24
380 8 0.064877 0.000615 0.03986 0.020824 0.003578 24
390 8 0.066419 0.000607 0.041253 0.020853 0.003706 24
400 8 0.067439 0.000602 0.042106 0.020867 0.003864 24
410 8 0.068557 0.000605 0.043088 0.020843 0.004021 24
420 8 0.0697 0.000613 0.04407 0.020888 0.004129 24
430 8 0.071032 0.000618 0.045263 0.020849 0.004302 24
440 8 0.072278 0.000607 0.046278 0.02084 0.004553 24
450 8 0.073344 0.000609 0.047211 0.020883 0.004641 24
460 8 0.074626 0.000627 0.048302 0.020872 0.004825 24
470 8 0.075889 0.000605 0.049367 0.020916 0.005001 24
480 8 0.077109 0.000607 0.050432 0.020828 0.005242 24
490 8 0.078314 0.000618 0.051504 0.020832 0.00536 24
500 8 0.08019 0.000606 0.053125 0.020905 0.005554 24
510 8 0.080844 0.000605 0.053573 0.02092 0.005746 24
520 8 0.084133 0.000611 0.056578 0.02096 0.005984 24
530 8 0.083328 0.000529 0.055745 0.020929 0.006125 24
540 8 0.087302 0.000599 0.059505 0.020838 0.00636 24
550 8 0.08908 0.000614 0.061022 0.020843 0.006601 24
560 8 0.088906 0.000609 0.060588 0.020954 0.006755 14
570 8 0.090061 0.00061 0.061622 0.020848 0.006981 14
580 8 0.094051 0.000617 0.065377 0.020867 0.00719 14
590 8 0.096736 0.000607 0.067724 0.020928 0.007477 14
600 8 0.099124 0.000607 0.070005 0.020818 0.007694 14
610 8 0.100986 0.000605 0.071565 0.020896 0.00792 14
620 8 0.102566 0.000617 0.072987 0.020875 0.008087 14
630 8 0.104999 0.000601 0.075244 0.020835 0.008319 14
640 8 0.106764 0.000619 0.076658 0.020876 0.008611 14
650 8 0.108186 0.00061 0.077963 0.020837 0.008776 14
660 8 0.10987 0.000612 0.079339 0.020818 0.009101 14
670 8 0.112592 0.000602 0.081801 0.020838 0.009351 14
680 8 0.11179 0.000603 0.080857 0.020828 0.009502 14
690 8 0.111473 0.000614 0.080205 0.0209 0.009754 14
700 8 0.114457 0.000617 0.082873 0.020818 0.010149 14
