"Number of Particles" "Step time" "Emission time" "LBM step time" "Update time"
20 0.020907 1.4e-05 0.020877 1.6e-05
40 0.021087 7e-06 0.021046 3.4e-05
60 0.021095 8e-06 0.021023 6.4e-05
80 0.021159 7e-06 0.021044 0.000108
100 0.021143 6e-06 0.02098 0.000157
120 0.021199 6e-06 0.020974 0.000219
140 0.021352 7e-06 0.021048 0.000297
160 0.021371 7e-06 0.020989 0.000375
180 0.021446 5e-06 0.020972 0.000469
200 0.021612 7e-06 0.021033 0.000572
220 0.021673 6e-06 0.020974 0.000693
240 0.021816 6e-06 0.020992 0.000818
260 0.02199 5e-06 0.02102 0.000965
280 0.022132 6e-06 0.020961 0.001165
300 0.022259 5e-06 0.020978 0.001276
320 0.022485 6e-06 0.021035 0.001444
340 0.02262 6e-06 0.020982 0.001632
360 0.022806 6e-06 0.020982 0.001818
380 0.023045 6e-06 0.021024 0.002015
400 0.02322 6e-06 0.020979 0.002235
420 0.023493 6e-06 0.020976 0.002511
440 0.023675 6e-06 0.020978 0.002691
460 0.023915 6e-06 0.020978 0.002931
480 0.024248 5e-06 0.021058 0.003185
500 0.02443 6e-06 0.020975 0.003449
520 0.024817 6e-06 0.021082 0.003729
540 0.025175 6e-06 0.021155 0.004014
560 0.025351 5e-06 0.021031 0.004315
580 0.02561 5e-06 0.020982 0.004623
600 0.025964 6e-06 0.021014 0.004944
620 0.026296 5e-06 0.020965 0.005326
640 0.026599 5e-06 0.020984 0.00561
660 0.026991 5e-06 0.02097 0.006016
680 0.027292 5e-06 0.020968 0.006319
700 0.027786 7e-06 0.021044 0.006735
720 0.028181 5e-06 0.021048 0.007128
740 0.028436 5e-06 0.020965 0.007466
760 0.028878 6e-06 0.021008 0.007864
780 0.029302 5e-06 0.020963 0.008334
800 0.029757 5e-06 0.020985 0.008767
820 0.030163 5e-06 0.020978 0.00918
840 0.030542 5e-06 0.020966 0.009571
860 0.031056 6e-06 0.02102 0.01003
880 0.031506 6e-06 0.021003 0.010497
900 0.032005 5e-06 0.02097 0.01103
920 0.0325 5e-06 0.020977 0.011518
940 0.032975 5e-06 0.020952 0.012018
960 0.033496 6e-06 0.020966 0.012524
980 0.034007 5e-06 0.020967 0.013035
1000 0.034554 6e-06 0.020969 0.013579
1020 0.035368 5e-06 0.021248 0.014115
1040 0.035695 5e-06 0.02108 0.01461
1060 0.036293 5e-06 0.021027 0.015261
1080 0.036899 5e-06 0.02109 0.015804
1100 0.03736 6e-06 0.020985 0.016369
1120 0.037945 1.5e-05 0.020965 0.016965
1140 0.038596 1.4e-05 0.021027 0.017555
1160 0.039214 7e-06 0.020969 0.018238
1180 0.039992 1.3e-05 0.021168 0.018811
1200 0.040463 5e-06 0.021004 0.019454
1220 0.04108 1.4e-05 0.020982 0.020084
1240 0.041826 5e-06 0.02109 0.020731
1260 0.042408 1.2e-05 0.020989 0.021407
1280 0.043229 6e-06 0.02109 0.022133
1300 0.043793 1.3e-05 0.020974 0.022806
1320 0.044473 6e-06 0.020964 0.023503
1340 0.045332 1.4e-05 0.021132 0.024186
1360 0.045992 2.1e-05 0.020974 0.024997
1380 0.046681 6e-06 0.020967 0.025708
1400 0.047396 1.3e-05 0.020981 0.026402
1420 0.048222 6e-06 0.021015 0.027201
1440 0.048997 1.5e-05 0.021027 0.027955
1460 0.049824 6e-06 0.021047 0.028771
1480 0.050569 1.4e-05 0.021017 0.029538
1500 0.051335 5e-06 0.021025 0.030305
1520 0.052194 1.3e-05 0.021028 0.031153
1540 0.052971 5e-06 0.021008 0.031958
1560 0.053889 1.3e-05 0.021059 0.032817
1580 0.054838 1.7e-05 0.021049 0.033772
1600 0.055617 5e-06 0.020981 0.034631
1620 0.056364 1.3e-05 0.020988 0.035363
1640 0.057236 5e-06 0.020992 0.036239
1660 0.058253 1.3e-05 0.021116 0.037124
1680 0.059037 5e-06 0.021039 0.037993
1700 0.059939 1.4e-05 0.021005 0.03892
1720 0.060904 6e-06 0.021017 0.039881
1740 0.061749 1.3e-05 0.02098 0.040756
1760 0.062701 6e-06 0.021015 0.04168
1780 0.063719 1.2e-05 0.020971 0.042736
1800 0.064629 1.3e-05 0.02097 0.043646
1820 0.06555 5e-06 0.020964 0.044581
1840 0.06677 1.3e-05 0.021181 0.045576
1860 0.067576 5e-06 0.020974 0.046597
1880 0.068541 1.4e-05 0.020999 0.047528
1900 0.069527 5e-06 0.020985 0.048537
1920 0.070735 1.3e-05 0.021015 0.049707
1940 0.071641 5e-06 0.02099 0.050646
1960 0.072745 1.4e-05 0.020984 0.051747
1980 0.073834 5e-06 0.020971 0.052858
2000 0.074804 1.4e-05 0.020998 0.053792
2020 0.075922 1.3e-05 0.021006 0.054903
2040 0.076968 6e-06 0.020987 0.055975
2060 0.078096 1.4e-05 0.020977 0.057105
2080 0.079195 5e-06 0.020983 0.058207
2100 0.080911 1.7e-05 0.020962 0.059932
2120 0.081414 6e-06 0.021001 0.060407
2140 0.08258 1.3e-05 0.021017 0.06155
