"Number of Particles" "Sprites per particle" "Step time" "Emission time" "Rendering time" "LBM step time" "Update time" "FPS"
20 4 0.022833 0.000237 0.001384 0.021165 4.7e-05 1
40 4 0.027815 0.001614 0.002722 0.023386 9.3e-05 1
60 4 0.027434 0.000283 0.00315 0.023854 0.000147 1
80 4 0.028268 0.000289 0.005089 0.022677 0.000213 1
100 4 0.030055 0.000287 0.007799 0.021675 0.000294 1
120 4 0.033691 0.001636 0.007785 0.023893 0.000377 1
140 4 0.030463 0.000193 0.00863 0.021158 0.000482 1
160 4 0.032961 0.000605 0.010591 0.021165 0.0006 1
180 4 0.035119 0.000617 0.011181 0.022594 0.000727 1
200 4 0.034003 0.000847 0.011056 0.021254 0.000846 1
220 4 0.035812 0.001547 0.01183 0.021451 0.000984 1
240 4 0.036631 0.001535 0.01274 0.021207 0.001149 1
260 4 0.037755 0.001585 0.013656 0.021187 0.001327 1
280 4 0.040278 0.001562 0.015008 0.022188 0.00152 1
300 4 0.03945 0.000186 0.01549 0.022068 0.001706 1
320 4 0.04017 0.000189 0.015956 0.022086 0.001939 1
340 4 0.041233 0.000188 0.016802 0.022066 0.002177 1
360 4 0.04245 0.000195 0.017755 0.022077 0.002423 1
380 4 0.043345 0.000186 0.018405 0.022072 0.002682 1
400 4 0.044937 0.000197 0.019687 0.022084 0.002969 1
420 4 0.045619 0.000188 0.020106 0.022078 0.003247 1
440 4 0.046828 0.000192 0.021013 0.02207 0.003553 1
460 4 0.047954 0.000189 0.021831 0.022072 0.003862 1
480 4 0.049551 0.000193 0.02311 0.022068 0.00418 1
500 4 0.053193 0.00137 0.025287 0.022029 0.004507 1
520 4 0.051564 0.000187 0.024459 0.02207 0.004848 1
540 4 0.051823 0.000177 0.0253 0.021158 0.005188 1
560 4 0.054219 0.001577 0.025934 0.021163 0.005545 1
580 4 0.056574 0.001575 0.02704 0.022045 0.005914 1
600 4 0.056194 0.000189 0.027671 0.02203 0.006304 1
620 4 0.057522 0.000189 0.02863 0.022001 0.006702 1
640 4 0.059217 0.000189 0.0299 0.022029 0.007099 1
660 4 0.060346 0.000856 0.030212 0.021758 0.00752 1
680 4 0.06427 0.001445 0.03287 0.022003 0.007952 1
700 4 0.062668 0.000189 0.032093 0.022004 0.008382 23
720 4 0.064152 0.000192 0.033118 0.022008 0.008834 23
740 4 0.064277 0.000192 0.033577 0.021171 0.009337 23
760 4 0.063516 0.000373 0.032035 0.021332 0.009776 23
780 4 0.064688 0.00037 0.032844 0.021175 0.010299 23
800 4 0.065892 0.000377 0.033598 0.021161 0.010756 23
820 4 0.067324 0.000369 0.034517 0.021159 0.011279 23
840 4 0.068725 0.000361 0.035384 0.021185 0.011795 23
860 4 0.070139 0.000375 0.036255 0.021173 0.012336 23
880 4 0.071471 0.000364 0.037037 0.021196 0.012874 23
900 4 0.074796 0.000368 0.039791 0.021197 0.01344 23
920 4 0.076829 0.000366 0.041282 0.021177 0.014004 23
940 4 0.077752 0.000372 0.041622 0.021153 0.014605 23
960 4 0.079911 0.000365 0.042875 0.021482 0.015189 23
980 4 0.08267 0.000371 0.045318 0.021172 0.015809 23
1000 4 0.084351 0.000369 0.046412 0.021171 0.016399 23
1020 4 0.087359 0.000402 0.048764 0.021168 0.017025 23
1040 4 0.089752 0.000363 0.050523 0.021189 0.017677 23
1060 4 0.089729 0.000328 0.049911 0.02117 0.01832 23
1080 4 0.09549 0.000369 0.054974 0.021178 0.018969 23
1100 4 0.096821 0.000365 0.055629 0.021153 0.019674 14
1120 4 0.099055 0.000377 0.057181 0.021169 0.020328 14
