"Number of Particles" "Sprites per particle" "Step time" "Emission time" "Rendering time" "LBM step time" "Update time" "FPS"
10 4 0.022274 0.000306 0.001066 0.020873 2.9e-05 1
20 4 0.02483 0.000208 0.002089 0.022484 4.9e-05 1
30 4 0.02719 0.000229 0.002075 0.024814 7.2e-05 1
40 4 0.025599 0.000244 0.002526 0.022729 0.0001 1
50 4 0.03212 0.000718 0.006057 0.025212 0.000133 1
60 4 0.029232 0.000242 0.005017 0.023812 0.000161 1
70 4 0.026907 0.000237 0.00383 0.022643 0.000197 1
80 4 0.027405 0.000427 0.004359 0.022383 0.000236 1
90 4 0.02841 0.00042 0.004974 0.022738 0.000278 1
100 4 0.028452 0.000432 0.005478 0.022218 0.000324 1
110 4 0.029654 0.000425 0.006289 0.022569 0.000371 1
120 4 0.029692 0.000431 0.006794 0.022042 0.000425 1
130 4 0.030857 0.000432 0.007498 0.022458 0.000469 1
140 4 0.030834 0.000416 0.007834 0.022064 0.00052 1
150 4 0.031854 0.000423 0.008799 0.022056 0.000576 1
160 4 0.031993 0.000423 0.008873 0.022053 0.000644 1
170 4 0.03327 0.000416 0.009916 0.022199 0.000739 1
180 4 0.033105 0.000423 0.009831 0.022069 0.000782 1
190 4 0.034242 0.000426 0.010881 0.02208 0.000855 1
200 4 0.034393 0.000428 0.012248 0.020783 0.000934 1
210 4 0.035508 0.000425 0.011988 0.022086 0.001009 1
220 4 0.036195 0.000434 0.013644 0.02101 0.001107 1
230 4 0.037365 0.000618 0.01436 0.021128 0.001259 1
240 4 0.038196 0.000576 0.014868 0.021466 0.001286 1
250 4 0.038228 0.000569 0.015424 0.02086 0.001375 1
260 4 0.039464 0.000586 0.015954 0.020804 0.00212 1
270 4 0.03941 0.000378 0.015922 0.020896 0.002214 1
280 4 0.039998 0.000395 0.016485 0.020789 0.002329 1
290 4 0.040693 0.000394 0.016993 0.021112 0.002194 1
300 4 0.04129 0.000407 0.017563 0.021415 0.001905 1
310 4 0.042096 0.000425 0.018132 0.021138 0.002401 1
320 4 0.042578 0.000399 0.018639 0.021401 0.002139 1
330 4 0.043348 0.000423 0.019244 0.021423 0.002258 1
340 4 0.044099 0.000415 0.019901 0.021399 0.002384 1
350 4 0.044792 0.000423 0.020377 0.021494 0.002498 1
360 4 0.045337 0.000427 0.020863 0.021404 0.002643 1
370 4 0.046044 0.000423 0.0214 0.021442 0.002779 1
380 4 0.046708 0.000435 0.021949 0.021419 0.002905 1
390 4 0.047432 0.000425 0.022574 0.021398 0.003035 1
400 4 0.048061 0.000428 0.023032 0.02142 0.003181 1
410 4 0.048749 0.000433 0.023496 0.021493 0.003327 1
420 4 0.049384 0.00042 0.024043 0.021442 0.003479 27
430 4 0.050321 0.00043 0.024846 0.021421 0.003624 27
440 4 0.050774 0.000439 0.02513 0.021401 0.003804 27
450 4 0.051526 0.000424 0.025752 0.021409 0.003941 27
460 4 0.052736 0.000435 0.026709 0.021478 0.004114 27
470 4 0.052799 0.000419 0.026721 0.02141 0.004249 27
480 4 0.053745 0.000431 0.027459 0.021449 0.004406 27
490 4 0.054342 0.00043 0.027942 0.021394 0.004576 27
500 4 0.055079 0.000422 0.028471 0.021421 0.004765 27
510 4 0.055775 0.000431 0.029004 0.021414 0.004926 27
520 4 0.056652 0.000434 0.029685 0.021426 0.005107 27
530 4 0.057131 0.000382 0.030058 0.021409 0.005282 27
540 4 0.057874 0.000421 0.030607 0.021378 0.005468 27
550 4 0.059058 0.000423 0.031249 0.021634 0.005752 27
560 4 0.060337 0.000417 0.032416 0.021578 0.005926 27
570 4 0.061565 0.000409 0.032937 0.022199 0.00602 27
580 4 0.061488 0.000415 0.03301 0.021834 0.006229 27
590 4 0.061646 0.000423 0.033307 0.021498 0.006418 27
600 4 0.062352 0.000426 0.033936 0.021366 0.006624 27
610 4 0.063021 0.000429 0.034392 0.021365 0.006835 27
620 4 0.063829 0.000431 0.035003 0.021366 0.007029 27
630 4 0.069013 0.000424 0.035411 0.025938 0.00724 27
640 4 0.065168 0.000421 0.035929 0.021367 0.007451 27
650 4 0.066159 0.00043 0.037242 0.020788 0.007699 27
660 4 0.066485 0.000421 0.036809 0.021364 0.007891 27
670 4 0.067468 0.000419 0.037616 0.021335 0.008098 27
680 4 0.068324 0.000434 0.038231 0.02133 0.008329 17
690 4 0.06892 0.000428 0.038789 0.021139 0.008564 17
700 4 0.069787 0.000426 0.039781 0.020785 0.008795 17
710 4 0.070362 0.000426 0.039866 0.021031 0.009039 17
720 4 0.071323 0.000424 0.040743 0.020889 0.009267 17
730 4 0.07213 0.000425 0.041419 0.020789 0.009497 17
740 4 0.073058 0.000423 0.042072 0.020779 0.009784 17
750 4 0.073684 0.000415 0.042498 0.020791 0.00998 17
760 4 0.074522 0.00044 0.043058 0.020778 0.010246 17
770 4 0.075247 0.000422 0.04348 0.020806 0.010539 17
780 4 0.076138 0.000419 0.044171 0.020793 0.010755 17
790 4 0.076768 0.000438 0.044526 0.020784 0.01102 17
800 4 0.077493 0.000423 0.045015 0.020782 0.011273 17
810 4 0.078344 0.000424 0.045563 0.020813 0.011544 17
820 4 0.079085 0.000427 0.046059 0.02078 0.011819 17
830 4 0.080116 0.000421 0.046833 0.020788 0.012074 17
840 4 0.080868 0.000432 0.047292 0.020786 0.012358 17
850 4 0.081622 0.000428 0.047667 0.020891 0.012636 17
860 4 0.082292 0.000423 0.048147 0.020783 0.012939 17
870 4 0.084074 0.00043 0.049224 0.020786 0.013634 17
