"Number of Particles" "Sprites per particle" "Step time" "Emission time" "Rendering time" "LBM step time" "Update time" "FPS"
20 1 0.031163 0.000236 0.009842 0.021055 3e-05 1
40 1 0.029212 0.000163 0.007863 0.021128 5.8e-05 1
60 1 0.029285 0.000152 0.007967 0.021068 9.8e-05 1
80 1 0.029706 0.000149 0.00829 0.021112 0.000155 1
100 1 0.029951 0.000167 0.008523 0.021057 0.000204 1
120 1 0.030341 0.000181 0.008706 0.021179 0.000275 1
140 1 0.030715 0.000167 0.008967 0.021223 0.000358 1
160 1 0.030859 0.000183 0.009153 0.021063 0.00046 1
180 1 0.031399 0.000174 0.009611 0.021054 0.00056 1
200 1 0.031648 0.000177 0.00974 0.021056 0.000675 1
220 1 0.029788 0.000177 0.00775 0.021054 0.000807 1
240 1 0.030022 0.000174 0.007861 0.021044 0.000943 1
260 1 0.030605 0.00018 0.008207 0.021121 0.001097 1
280 1 0.030833 0.000155 0.008327 0.021051 0.0013 1
300 1 0.031244 0.000173 0.00861 0.021051 0.00141 1
320 1 0.031749 0.000171 0.008927 0.021065 0.001586 1
340 1 0.032275 0.000173 0.009275 0.02105 0.001777 1
360 1 0.032665 0.000183 0.009444 0.021059 0.001979 1
380 1 0.033179 0.000175 0.009757 0.021053 0.002194 1
400 1 0.033523 0.000164 0.009843 0.021109 0.002407 1
420 1 0.034209 0.000175 0.010272 0.02111 0.002652 1
440 1 0.034438 0.000161 0.010335 0.021044 0.002898 1
460 1 0.035739 0.000192 0.010653 0.021686 0.003208 1
480 1 0.035495 0.000175 0.01078 0.021141 0.003399 1
500 1 0.036281 0.000176 0.011229 0.021208 0.003668 1
520 1 0.036736 0.000163 0.011551 0.021069 0.003953 1
540 1 0.037305 0.000173 0.011819 0.021047 0.004266 1
560 1 0.037864 0.000171 0.012008 0.021049 0.004636 1
580 1 0.040554 0.000156 0.014377 0.021107 0.004914 1
600 1 0.039001 0.000153 0.012564 0.021044 0.00524 1
620 1 0.03979 0.00016 0.012916 0.021047 0.005667 1
640 1 0.040278 0.000156 0.01312 0.021046 0.005956 1
660 1 0.040913 0.000167 0.013266 0.021077 0.006403 1
680 1 0.041619 0.000154 0.01372 0.021041 0.006704 1
700 1 0.042141 0.000155 0.013782 0.021041 0.007163 1
720 1 0.042812 0.000155 0.014062 0.02111 0.007485 1
740 1 0.043524 0.000155 0.014323 0.021089 0.007957 1
760 1 0.044224 0.000165 0.014515 0.021114 0.00843 1
780 1 0.044947 0.000152 0.014774 0.021266 0.008755 1
800 1 0.045411 0.000159 0.014952 0.021042 0.009258 1
820 1 0.046322 0.000153 0.015369 0.021046 0.009754 1
840 1 0.046955 0.000151 0.015565 0.021033 0.010206 1
860 1 0.047613 0.000166 0.01574 0.021043 0.010664 28
880 1 0.048352 0.000152 0.015923 0.02112 0.011157 28
900 1 0.049225 0.00016 0.016299 0.02114 0.011626 28
920 1 0.050097 0.000155 0.016528 0.021186 0.012228 28
940 1 0.050618 0.000154 0.016707 0.021092 0.012665 28
960 1 0.051496 0.00016 0.016981 0.021133 0.013222 28
980 1 0.052266 0.000165 0.017218 0.021112 0.013771 28
1000 1 0.053175 0.000159 0.01756 0.021115 0.014341 28
1020 1 0.053869 0.000155 0.017733 0.021081 0.0149 28
1040 1 0.054939 0.000158 0.018232 0.02114 0.015409 28
1060 1 0.05563 0.000137 0.018257 0.021164 0.016072 28
1080 1 0.056534 0.000153 0.018518 0.02119 0.016673 28
1100 1 0.057159 0.000155 0.018636 0.021092 0.017276 28
1120 1 0.058152 0.000159 0.019042 0.02106 0.017891 28
1140 1 0.059035 0.000157 0.019206 0.021094 0.018578 28
1160 1 0.059845 0.000162 0.019433 0.0211 0.01915 28
1180 1 0.060659 0.000156 0.019597 0.021109 0.019797 28
1200 1 0.061573 0.000157 0.019844 0.021053 0.020519 28
1220 1 0.062547 0.000156 0.02013 0.021113 0.021148 28
1240 1 0.063667 0.000166 0.020527 0.021039 0.021935 28
1260 1 0.064786 0.000154 0.020815 0.021076 0.022741 28
1280 1 0.065804 0.000169 0.020846 0.021355 0.023434 28
1300 1 0.066607 0.000158 0.021174 0.021105 0.02417 28
1320 1 0.067588 0.000161 0.021446 0.021091 0.02489 28
1340 1 0.068622 0.000161 0.021695 0.021095 0.025671 28
1360 1 0.069602 0.000158 0.022015 0.021063 0.026366 28
1380 1 0.070661 0.000167 0.022197 0.02112 0.027177 18
1400 1 0.071786 0.000158 0.022537 0.021056 0.028035 18
1420 1 0.07282 0.000159 0.022715 0.02116 0.028786 18
1440 1 0.073709 0.000157 0.022946 0.021098 0.029508 18
1460 1 0.074658 0.000159 0.023119 0.021055 0.030325 18
1480 1 0.076104 0.000155 0.023772 0.021047 0.03113 18
1500 1 0.076832 0.000163 0.023666 0.021088 0.031915 18
1520 1 0.078022 0.000166 0.023923 0.021047 0.032886 18
1540 1 0.079266 0.000158 0.02441 0.021042 0.033656 18
1560 1 0.080269 0.000155 0.024491 0.021082 0.034541 18
1580 1 0.081358 0.00016 0.024732 0.021087 0.035379 18
1600 1 0.0828 0.000156 0.025116 0.021175 0.036353 18
1620 1 0.083824 0.000151 0.025342 0.021046 0.037285 18
1640 1 0.085042 0.000156 0.025659 0.02117 0.038057 18
1660 1 0.086057 0.000153 0.02584 0.021127 0.038937 18
1680 1 0.08708 0.000155 0.026019 0.021056 0.03985 18
1700 1 0.0885 0.000164 0.026449 0.021047 0.04084 18
1720 1 0.089638 0.00016 0.026578 0.021114 0.041786 18
1740 1 0.090694 0.000158 0.026809 0.021043 0.042684 18
1760 1 0.092405 0.000155 0.027227 0.02111 0.043913 13
1780 1 0.093623 0.000153 0.027499 0.02107 0.044901 13
1800 1 0.094513 0.00017 0.027639 0.021058 0.045646 13
1820 1 0.095901 0.000157 0.028043 0.021055 0.046646 13
1840 1 0.097152 0.000158 0.028261 0.021048 0.047685 13
1860 1 0.098426 0.000161 0.028532 0.021042 0.048691 13
1880 1 0.099744 0.000157 0.028783 0.021087 0.049717 13
1900 1 0.101147 0.000164 0.029139 0.021103 0.050741 13
1920 1 0.102233 0.000158 0.029226 0.021044 0.051805 13
1940 1 0.103736 0.000154 0.029658 0.021051 0.052873 13
1960 1 0.105377 0.000157 0.029919 0.021048 0.054253 13
1980 1 0.106987 0.000155 0.029974 0.021089 0.055769 13
2000 1 0.107813 0.000153 0.030485 0.02104 0.056135 13
2020 1 0.109281 0.000163 0.030605 0.021112 0.057401 13
2040 1 0.110343 0.000151 0.030752 0.021035 0.058405 13
2060 1 0.112039 0.000158 0.031326 0.021046 0.059509 10
2080 1 0.113251 0.000134 0.031381 0.021108 0.060628 10
2100 1 0.114659 0.000137 0.031595 0.021046 0.061881 10
2120 1 0.116206 0.000148 0.031988 0.021044 0.063026 10
2140 1 0.117497 0.000161 0.031956 0.021047 0.064333 10
2160 1 0.119029 0.000152 0.032365 0.021042 0.06547 10
2180 1 0.120412 0.000156 0.0326 0.021047 0.066609 10
2200 1 0.121868 0.000157 0.032716 0.021127 0.067868 10
2220 1 0.123596 0.000154 0.033259 0.021044 0.069139 10
2240 1 0.125051 0.000152 0.033444 0.021046 0.070409 10
