"Number of Particles" "Sprites per particle" "Step time" "Emission time" "Rendering time" "LBM step time" "Update time" "FPS"
1020 2 0.067918 0.000137 0.03013 0.02145 0.016201 20
1030 2 0.071826 0.000224 0.03418 0.020834 0.016588 20
1040 2 0.069524 0.000123 0.030372 0.022134 0.016895 20
1050 2 0.071743 0.000123 0.030716 0.02375 0.017154 16
1060 2 0.073512 0.000212 0.034911 0.020846 0.017543 16
1070 2 0.071319 0.000137 0.031203 0.022141 0.017838 16
1080 2 0.071589 0.000137 0.032535 0.020804 0.018113 16
1090 2 0.074233 0.000219 0.03447 0.020806 0.018738 16
1100 2 0.077871 0.000209 0.038065 0.020819 0.018778 16
1110 2 0.076922 0.000223 0.036459 0.020879 0.019361 16
1120 2 0.074234 0.000142 0.03373 0.020836 0.019526 16
1130 2 0.074775 0.000137 0.033839 0.020949 0.01985 16
1140 2 0.075455 0.00014 0.034216 0.020832 0.020267 16
1150 2 0.075971 0.000137 0.03446 0.020852 0.020522 16
1160 2 0.076755 0.000141 0.034788 0.020962 0.020864 16
1170 2 0.073095 0.000156 0.030858 0.020836 0.021245 16
1180 2 0.074861 0.000167 0.031339 0.020826 0.022529 16
1190 2 0.074568 0.000151 0.031619 0.020883 0.021915 16
1200 2 0.07935 0.00016 0.031753 0.024609 0.022828 16
1210 2 0.081532 0.000141 0.037812 0.020885 0.022694 16
1220 2 0.082492 0.000151 0.038408 0.020825 0.023108 16
1230 2 0.081035 0.000139 0.036689 0.020836 0.023371 16
1240 2 0.081544 0.000131 0.03683 0.020837 0.023746 16
1250 2 0.077985 0.000148 0.032901 0.020839 0.024097 13
1260 2 0.078887 0.000163 0.033344 0.020846 0.024534 13
1270 2 0.079495 0.000163 0.033635 0.020837 0.02486 13
1280 2 0.080221 0.000158 0.033976 0.020827 0.02526 13
1290 2 0.080991 0.000162 0.034326 0.020885 0.025618 13
1300 2 0.081478 0.00016 0.034407 0.020835 0.026076 13
1310 2 0.082702 0.000169 0.035203 0.020893 0.026437 13
1320 2 0.082853 0.00016 0.034969 0.020889 0.026835 13
1330 2 0.083458 0.000172 0.035198 0.020834 0.027254 13
1340 2 0.084232 0.000158 0.035539 0.020867 0.027668 13
1350 2 0.084818 0.000165 0.035772 0.020887 0.027994 13
1360 2 0.085446 0.000167 0.035965 0.020888 0.028426 13
1370 2 0.086154 0.000156 0.03629 0.020838 0.02887 13
1380 2 0.086842 0.000161 0.036545 0.020858 0.029278 13
1390 2 0.087434 0.000157 0.036742 0.020843 0.029692 13
1400 2 0.088121 0.000156 0.036958 0.020835 0.030172 13
1410 2 0.088831 0.000159 0.037325 0.020834 0.030513 13
1420 2 0.089722 0.000155 0.037541 0.020836 0.03119 13
1430 2 0.090174 0.00016 0.037806 0.020881 0.031327 12
1440 2 0.091138 0.000169 0.038189 0.020879 0.031901 12
1450 2 0.092166 0.000164 0.038456 0.020892 0.032654 12
1460 2 0.09288 0.000161 0.038603 0.020961 0.033155 12
1470 2 0.093687 0.000161 0.039001 0.020891 0.033634 12
1480 2 0.094219 0.000155 0.039156 0.020834 0.034074 12
1490 2 0.095215 0.000162 0.039514 0.020848 0.034691 12
1500 2 0.095792 0.000152 0.03978 0.020879 0.034981 12
1510 2 0.09646 0.000161 0.039988 0.020827 0.035484 12
1520 2 0.097045 0.000163 0.040149 0.020849 0.035884 12
1530 2 0.098503 0.000161 0.040868 0.02109 0.036384 12
1540 2 0.098728 0.000159 0.040869 0.020826 0.036874 12
1550 2 0.099861 0.000173 0.041496 0.02088 0.037312 12
1560 2 0.100081 0.000155 0.041261 0.020868 0.037797 12
1570 2 0.100869 0.000156 0.04169 0.020831 0.038192 12
1580 2 0.101381 0.000161 0.041713 0.020827 0.03868 12
1590 2 0.102364 0.000155 0.042166 0.020856 0.039187 11
1600 2 0.10293 0.000159 0.042213 0.020834 0.039724 11
1610 2 0.105029 0.000157 0.042658 0.020877 0.041337 11
1620 2 0.105744 0.000161 0.04299 0.020827 0.041766 11
1630 2 0.107162 0.000368 0.043674 0.020846 0.042274 11
1640 2 0.107228 0.000161 0.043506 0.020832 0.042729 11
1650 2 0.108128 0.000157 0.043835 0.020826 0.04331 11
1660 2 0.110294 0.000165 0.044276 0.022077 0.043776 11
1670 2 0.109938 0.000292 0.044278 0.020869 0.044499 11
1680 2 0.110613 0.000142 0.044817 0.020829 0.044825 11
1690 2 0.111478 0.000298 0.045045 0.020878 0.045257 11
1700 2 0.112516 0.00016 0.045473 0.020848 0.046035 11
1710 2 0.113384 0.000154 0.045858 0.020842 0.04653 11
1720 2 0.119178 0.000159 0.046862 0.021424 0.050733 11
1730 2 0.116332 0.000153 0.047054 0.020853 0.048272 10
1740 2 0.116583 0.000154 0.046899 0.020827 0.048703 10
1750 2 0.117538 0.000162 0.047265 0.020828 0.049283 10
1760 2 0.118867 0.000158 0.047445 0.020825 0.050439 10
1770 2 0.119721 0.000162 0.047675 0.020902 0.050982 10
1780 2 0.120603 0.000155 0.047961 0.020866 0.051621 10
1790 2 0.121446 0.000156 0.048384 0.020834 0.052072 10
1800 2 0.123238 0.00016 0.049074 0.020825 0.053179 10
1810 2 0.123067 0.000154 0.048794 0.020882 0.053237 10
1820 2 0.124675 0.000169 0.049862 0.02083 0.053814 10
1830 2 0.125628 0.000157 0.050205 0.020951 0.054315 10
1840 2 0.126779 0.000161 0.050874 0.020832 0.054912 10
1850 2 0.126597 0.000155 0.050134 0.020847 0.055461 10
1860 2 0.12854 0.000154 0.051564 0.020875 0.055947 9
1870 2 0.130276 0.000156 0.0527 0.020829 0.056591 9
1880 2 0.131824 0.000159 0.05331 0.021119 0.057236 9
1890 2 0.133656 0.000159 0.05486 0.02087 0.057767 9
1900 2 0.133828 0.000158 0.054241 0.020828 0.058601 9
1910 2 0.134656 0.000156 0.054729 0.020839 0.058932 9
1920 2 0.135428 0.000161 0.054882 0.02082 0.059565 9
1930 2 0.136278 0.000158 0.055085 0.020875 0.06016 9
1940 2 0.140473 0.000161 0.055248 0.020885 0.064179 9
1950 2 0.144332 0.000149 0.056161 0.020961 0.067061 9
1960 2 0.14046 0.000146 0.056955 0.020833 0.062526 9
1970 2 0.141002 0.000151 0.05728 0.020825 0.062746 9
1980 2 0.142843 0.000161 0.058122 0.020829 0.063731 8
1990 2 0.14474 0.000158 0.058626 0.020885 0.065071 8
2000 2 0.1462 0.000165 0.060303 0.020818 0.064914 8
2010 2 0.147152 0.000155 0.06066 0.020827 0.06551 8
2020 2 0.147357 0.000153 0.059565 0.020826 0.066813 8
2030 2 0.146851 0.000145 0.058556 0.020877 0.067273 8
2040 2 0.148847 0.000153 0.060032 0.020872 0.06779 8
2050 2 0.15322 0.000161 0.063044 0.020917 0.069098 8
2060 2 0.152126 0.000138 0.061515 0.020846 0.069627 8
2070 2 0.150114 0.000136 0.058864 0.020831 0.070283 8
2080 2 0.153519 0.00014 0.061917 0.020825 0.070637 8
2090 2 0.156351 0.00014 0.062844 0.02152 0.071847 7
2100 2 0.155503 0.000162 0.061839 0.020875 0.072627 7
2110 2 0.156828 0.000157 0.062583 0.020828 0.07326 7
2120 2 0.158498 0.000158 0.063759 0.020874 0.073707 7
2130 2 0.158405 0.00016 0.062646 0.020832 0.074767 7
2140 2 0.162718 0.000165 0.065134 0.020865 0.076554 7
2150 2 0.163548 0.00016 0.064705 0.020823 0.07786 7
2160 2 0.162777 0.000153 0.064358 0.020855 0.077411 7
2170 2 0.16392 0.000158 0.06495 0.020832 0.07798 7
2180 2 0.165731 0.000165 0.064827 0.020835 0.079904 7
2190 2 0.168879 0.000155 0.066958 0.02084 0.080926 7
2200 2 0.167634 0.000157 0.065611 0.020842 0.081024 7
2210 2 0.169432 0.000157 0.066279 0.020847 0.082149 7
2220 2 0.171714 0.00015 0.067476 0.020855 0.083233 7
2230 2 0.172863 0.000156 0.068284 0.020862 0.083561 7
2240 2 0.179969 0.000156 0.068653 0.0212 0.08996 7
2250 2 0.17286 0.000153 0.067302 0.020838 0.084567 7
2260 2 0.175235 0.000155 0.068339 0.02084 0.085901 7
2270 2 0.176854 0.000159 0.069216 0.020993 0.086486 7
2280 2 0.17754 0.000154 0.069123 0.020882 0.087381 6
2290 2 0.179556 0.000155 0.069627 0.020879 0.088895 6
2300 2 0.181115 0.000158 0.070563 0.020833 0.089561 6
2310 2 0.179618 0.000152 0.069006 0.020844 0.089616 6
2320 2 0.183476 0.000155 0.071568 0.020833 0.09092 6
2330 2 0.184727 0.000149 0.072219 0.020836 0.091523 6
2340 2 0.187374 0.000163 0.07246 0.020843 0.093908 6
2350 2 0.185625 0.000157 0.07124 0.020829 0.093399 6
2360 2 0.185619 0.000155 0.069876 0.020825 0.094763 6
2370 2 0.189606 0.000153 0.072294 0.020838 0.096321 6
2380 2 0.191516 0.000153 0.07399 0.021487 0.095886 6
2390 2 0.192118 0.000155 0.073095 0.020825 0.098043 6
2400 2 0.203943 0.000158 0.073635 0.021048 0.109102 6
2410 2 0.193645 0.000149 0.07373 0.020831 0.098935 6
2420 2 0.19576 0.00016 0.073202 0.020839 0.101559 6
2430 2 0.197689 0.000159 0.072918 0.021277 0.103335 6
2440 2 0.199023 0.000153 0.073828 0.020931 0.104111 6
2450 2 0.198238 0.000156 0.073407 0.020821 0.103854 6
2460 2 0.199795 0.000153 0.073956 0.020838 0.104848 6
2470 2 0.200025 0.000162 0.073403 0.020827 0.105633 6
2480 2 0.203238 0.000158 0.074267 0.021046 0.107767 6
2490 2 0.203749 0.000162 0.074444 0.02088 0.108263 6
2500 2 0.206056 0.000156 0.075399 0.020837 0.109664 6
2510 2 0.206501 0.000151 0.075299 0.020832 0.110219 6
2520 2 0.208369 0.000156 0.076677 0.020829 0.110707 6
2530 2 0.209817 0.00032 0.076759 0.021036 0.111702 5
2540 2 0.211854 0.000149 0.077545 0.020828 0.113332 5
2550 2 0.214347 0.000158 0.077715 0.02087 0.115604 5
2560 2 0.214591 0.000157 0.078185 0.020872 0.115377 5
2570 2 0.218598 0.000154 0.078582 0.020875 0.118987 5
2580 2 0.216417 0.000145 0.076688 0.020883 0.118701 5
2590 2 0.21926 0.000156 0.07755 0.020887 0.120667 5
2600 2 0.220283 0.000153 0.078607 0.020832 0.120691 5
2610 2 0.223257 0.000153 0.079853 0.020826 0.122425 5
2620 2 0.22632 0.000157 0.079669 0.02083 0.125664 5
2630 2 0.225907 0.000149 0.078347 0.020836 0.126575 5
2640 2 0.226684 0.000159 0.080128 0.020887 0.12551 5
2650 2 0.229104 0.000158 0.08046 0.020827 0.127659 5
2660 2 0.231864 0.000157 0.080564 0.020828 0.130315 5
2670 2 0.241662 0.000148 0.080949 0.0211 0.139465 5
2680 2 0.233481 0.000149 0.08122 0.020937 0.131175 5
2690 2 0.232773 0.000159 0.080799 0.020871 0.130944 5
2700 2 0.235837 0.000167 0.081077 0.02092 0.133673 5
2710 2 0.236766 0.000155 0.081805 0.020832 0.133974 5
2720 2 0.23904 0.000158 0.081978 0.020831 0.136073 5
2730 2 0.239593 0.000155 0.082083 0.020825 0.13653 5
2740 2 0.240563 0.000153 0.081633 0.020869 0.137908 5
2750 2 0.244334 0.000155 0.084188 0.021047 0.138944 5
2760 2 0.244348 0.000156 0.08435 0.020859 0.138983 5
2770 2 0.24387 0.000154 0.08335 0.020877 0.139489 5
2780 2 0.24487 0.000157 0.0838 0.020833 0.14008 5
2790 2 0.248842 0.000157 0.083891 0.021173 0.143621 5
2800 2 0.250737 0.000156 0.083229 0.02083 0.146522 5
2810 2 0.252418 0.000148 0.084741 0.020832 0.146697 5
2820 2 0.253567 0.000158 0.08398 0.020835 0.148594 5
2830 2 0.255695 0.000156 0.084983 0.021596 0.14896 5
2840 2 0.25563 0.000152 0.084629 0.020844 0.150005 5
2850 2 0.257189 0.000156 0.085351 0.020835 0.150847 5
2860 2 0.258391 0.000154 0.085059 0.020882 0.152296 5
2870 2 0.263043 0.000155 0.084744 0.020849 0.157295 4
2880 2 0.264436 0.000148 0.086566 0.020834 0.156888 4
2890 2 0.265125 0.00016 0.086012 0.020833 0.15812 4
2900 2 0.266391 0.000153 0.086259 0.020846 0.159133 4
2910 2 0.267456 0.000132 0.086487 0.020839 0.159998 4
2920 2 0.268544 0.00015 0.086616 0.020888 0.16089 4
2930 2 0.292165 0.000155 0.08585 0.020845 0.185315 4
2940 2 0.27497 0.000148 0.088029 0.020873 0.16592 4
2950 2 0.275864 0.00015 0.087423 0.020843 0.167448 4
2960 2 0.277071 0.000167 0.087254 0.020873 0.168777 4
2970 2 0.281383 0.000158 0.088042 0.020861 0.172322 4
2980 2 0.282023 0.000156 0.087841 0.020826 0.1732 4
2990 2 0.285689 0.000156 0.088529 0.020836 0.176168 4
3000 2 0.288686 0.000156 0.088672 0.020828 0.17903 4
3010 2 0.290494 0.000155 0.088339 0.020874 0.181126 4
3020 2 0.291509 0.000151 0.089035 0.020844 0.181479 4
3030 2 0.332285 0.000151 0.0899 0.020868 0.221366 4
3040 2 0.300097 0.00015 0.090887 0.02092 0.18814 4
3050 2 0.300566 0.000275 0.090414 0.020867 0.18901 4
3060 2 0.30201 0.000166 0.090545 0.020834 0.190465 4
3070 2 0.305107 0.000155 0.090349 0.020844 0.193759 4
3080 2 0.308286 0.000155 0.090533 0.020867 0.196731 4
3090 2 0.309149 0.000152 0.090831 0.020907 0.197259 4
3100 2 0.309944 0.00016 0.090584 0.020824 0.198376 4
3110 2 0.313364 0.000157 0.090545 0.020831 0.201831 4
3120 2 0.312428 0.00015 0.090265 0.021006 0.201007 4
3130 2 0.316049 0.000155 0.091001 0.020871 0.204022 4
3140 2 0.317898 0.000299 0.091781 0.020874 0.204944 4
3150 2 0.322257 0.000153 0.092038 0.020872 0.209194 4
3160 2 0.321255 0.000146 0.092073 0.020832 0.208204 4
3170 2 0.326598 0.000153 0.091168 0.020838 0.214439 4
3180 2 0.328696 0.000146 0.091595 0.020829 0.216126 4
3190 2 0.331785 0.000157 0.092201 0.02091 0.218517 4
3200 2 0.337029 0.000154 0.092333 0.020911 0.223631 4
3210 2 0.337833 0.000154 0.093154 0.020831 0.223694 4
3220 2 0.384121 0.000159 0.093818 0.021207 0.268937 4
3230 2 0.342632 0.000146 0.093598 0.020828 0.22806 4
3240 2 0.343468 0.00015 0.094164 0.020832 0.228322 4
3250 2 0.344404 0.000151 0.094283 0.020825 0.229145 3
3260 2 0.349406 0.00016 0.09499 0.020825 0.233431 3
3270 2 0.350976 0.000152 0.094641 0.020828 0.235355 3
3280 2 0.354041 0.000159 0.094115 0.020835 0.238932 3
3290 2 0.357748 0.00016 0.095237 0.021436 0.240915 3
3300 2 0.362443 0.000148 0.095374 0.020828 0.246093 3
3310 2 0.360643 0.000152 0.095737 0.020848 0.243906 3
3320 2 0.361977 0.000156 0.095006 0.020868 0.245947 3
3330 2 0.364206 0.000156 0.095012 0.02084 0.248198 3
3340 2 0.370157 0.000156 0.09662 0.020832 0.252549 3
3350 2 0.370892 0.000145 0.096179 0.020825 0.253743 3
3360 2 0.374191 0.000157 0.096489 0.020946 0.256599 3
3370 2 0.401927 0.000154 0.096199 0.020839 0.284735 3
3380 2 0.377812 0.00015 0.096536 0.020829 0.260297 3
3390 2 0.381885 0.000154 0.097265 0.020836 0.26363 3
3400 2 0.38451 0.000165 0.097267 0.020843 0.266235 3
3410 2 0.386076 0.000151 0.097991 0.020851 0.267083 3
3420 2 0.3877 0.000154 0.097647 0.020829 0.26907 3
3430 2 0.390175 0.00015 0.09756 0.020828 0.271637 3
3440 2 0.391743 0.00015 0.098513 0.020866 0.272214 3
3450 2 0.393372 0.000149 0.098195 0.021451 0.273577 3
3460 2 0.395026 0.000149 0.097 0.020833 0.277044 3
3470 2 0.491689 0.000161 0.099394 0.021197 0.370937 3
3480 2 0.410525 0.00015 0.099543 0.021062 0.28977 3
3490 2 0.406737 0.000149 0.099078 0.020836 0.286674 3
3500 2 0.407667 0.000151 0.099126 0.020927 0.287463 3
3510 2 0.409179 0.000153 0.098381 0.020837 0.289808 3
3520 2 0.411841 0.000152 0.099232 0.020821 0.291636 3
3530 2 0.412435 0.000148 0.098716 0.020851 0.29272 3
3540 2 0.417594 0.000152 0.099696 0.02084 0.296906 3
3550 2 0.423047 0.000148 0.099588 0.020841 0.30247 3
3560 2 0.424101 0.000156 0.100751 0.020878 0.302316 3
3570 2 0.428071 0.000151 0.100502 0.021459 0.305959 3
3580 2 0.427261 0.000154 0.099749 0.020878 0.30648 3
3590 2 0.434223 0.000151 0.101437 0.020826 0.311809 3
3600 2 0.434906 0.000145 0.100956 0.020837 0.312968 3
3610 2 0.435558 0.000153 0.100259 0.020812 0.314334 3
3620 2 0.438623 0.000159 0.100958 0.020887 0.316619 3
3630 2 0.442024 0.000153 0.101842 0.020838 0.319191 3
3640 2 0.44739 0.000155 0.101743 0.02091 0.324582 3
3650 2 0.449449 0.000143 0.100995 0.020827 0.327484 3
3660 2 0.453427 0.000144 0.102244 0.02082 0.330219 3
3670 2 0.455025 0.000149 0.102863 0.020906 0.331107 3
3680 2 0.49267 0.000147 0.10287 0.020831 0.368822 3
3690 2 0.45891 0.00015 0.101951 0.020877 0.335932 3
3700 2 0.465003 0.00015 0.102288 0.020868 0.341697 3
3710 2 0.466827 0.000153 0.103409 0.020832 0.342433 3
3720 2 0.473069 0.000151 0.102873 0.020837 0.349208 3
3730 2 0.473741 0.00015 0.103093 0.020889 0.349609 3
3740 2 0.478778 0.000149 0.103166 0.020917 0.354546 3
3750 2 0.483469 0.000156 0.105182 0.020846 0.357285 3
3760 2 0.485722 0.000154 0.104408 0.020845 0.360315 3
3770 2 0.488233 0.00015 0.1043 0.020844 0.362939 3
3780 2 0.545247 0.000146 0.104126 0.020827 0.420148 3
3790 2 0.489284 0.000322 0.104352 0.020846 0.363764 2
3800 2 0.492726 0.00015 0.104921 0.020834 0.366821 2
3810 2 0.497365 0.00015 0.105545 0.020831 0.370839 2
3818 2 0.498285 0.000154 0.105027 0.020834 0.37227 2
3824 2 0.500898 0.00015 0.105324 0.020835 0.374589 3
3826 2 0.50227 0.000148 0.104938 0.020844 0.37634 3
3831 2 0.506021 0.000142 0.104352 0.020841 0.380686 3
3836 2 0.50576 0.000133 0.104808 0.020828 0.379991 2
3835 2 0.506468 0.00014 0.105454 0.020852 0.380022 2
3839 2 0.509085 0.000135 0.105565 0.020856 0.382529 2
3841 2 0.509118 0.000135 0.105131 0.020864 0.382988 2
3843 2 0.509165 0.000141 0.104617 0.020843 0.383564 2
3841 2 0.507617 0.00013 0.105714 0.020901 0.380872 2
3839 2 0.517342 0.000131 0.10543 0.020831 0.39095 2
3841 2 0.509682 0.000131 0.105507 0.020824 0.38322 2
3846 2 0.50896 0.000135 0.1056 0.020831 0.382394 2
3837 2 0.508062 0.000134 0.106207 0.020893 0.380828 2
3841 2 0.506934 0.000131 0.104195 0.020833 0.381775 2
3842 2 0.51141 0.000134 0.105992 0.020872 0.384412 2
3845 2 0.596411 0.000136 0.105262 0.020838 0.470175 2
3846 2 0.50802 0.000135 0.10499 0.020899 0.381996 2
3847 2 0.510084 0.000136 0.105464 0.020875 0.383609 2
3847 2 0.507944 0.000135 0.104909 0.020833 0.382067 2
3844 2 0.511121 0.000131 0.104935 0.02088 0.385175 2
3843 2 0.511228 0.00014 0.105885 0.020841 0.384362 2
3847 2 0.512739 0.000134 0.107096 0.020844 0.384665 2
3848 2 0.512428 0.000133 0.106071 0.020834 0.38539 2
3850 2 0.537548 0.00015 0.105699 0.020873 0.410826 2
3852 2 0.514326 0.000135 0.107523 0.020847 0.385821 2
3858 2 0.512587 0.000137 0.104352 0.021573 0.386525 2
3861 2 0.512891 0.000136 0.105751 0.020876 0.386128 2
3861 2 0.514737 0.00014 0.105909 0.020826 0.387862 2
3863 2 0.513195 0.00013 0.105691 0.02083 0.386544 2
3860 2 0.515449 0.000136 0.106129 0.020839 0.388345 2
3860 2 0.513763 0.000136 0.105926 0.020835 0.386866 2
3861 2 0.515924 0.000134 0.105688 0.020834 0.389268 2
3867 2 0.517125 0.000139 0.10591 0.02084 0.390236 2
3871 2 0.519532 0.000143 0.105756 0.020868 0.392765 2
3876 2 0.521663 0.000143 0.105965 0.020831 0.394724 2
3877 2 0.558433 0.000135 0.1064 0.020823 0.431075 2
3877 2 0.521384 0.000133 0.105601 0.020834 0.394816 2
3879 2 0.521595 0.000135 0.106249 0.020825 0.394386 2
3875 2 0.520341 0.000144 0.10488 0.020824 0.394493 2
3882 2 0.522257 0.000135 0.10515 0.020875 0.396097 2
3878 2 0.524607 0.000136 0.106511 0.020833 0.397127 2
3873 2 0.520981 0.000135 0.106185 0.020877 0.393784 2
3870 2 0.524843 0.000136 0.106213 0.020848 0.397646 2
3870 2 0.518408 0.000137 0.105823 0.021741 0.390707 2
3870 2 0.520451 0.000138 0.105742 0.020839 0.393732 2
