"Number of Particles" "Sprites per particle" "Step time" "Emission time" "Rendering time" "LBM step time" "Update time" "FPS"
10 1 0.02174 0.000137 0.000719 0.020866 1.8e-05 1
20 1 0.021727 9.8e-05 0.000624 0.020978 2.7e-05 1
30 1 0.021789 9.4e-05 0.000758 0.020898 3.9e-05 1
40 1 0.021895 9.1e-05 0.000863 0.020887 5.4e-05 1
50 1 0.022105 9.2e-05 0.001006 0.020936 7.1e-05 1
60 1 0.022181 9.2e-05 0.001101 0.020897 9.1e-05 1
70 1 0.022359 9.1e-05 0.001265 0.020889 0.000114 1
80 1 0.022607 9.5e-05 0.001357 0.021016 0.000139 1
90 1 0.022672 9.4e-05 0.001507 0.020903 0.000168 1
100 1 0.022817 0.00011 0.001619 0.020884 0.000204 1
110 1 0.023065 0.000111 0.001841 0.020881 0.000232 1
120 1 0.023127 0.000111 0.001862 0.020887 0.000267 1
130 1 0.023401 0.000111 0.00202 0.020963 0.000307 1
140 1 0.02386 0.000107 0.002118 0.021189 0.000446 1
150 1 0.025474 0.000257 0.002144 0.022679 0.000394 1
160 1 0.025217 0.000178 0.002241 0.022357 0.000441 1
170 1 0.025442 0.000181 0.002371 0.022397 0.000493 1
180 1 0.025554 0.000177 0.002493 0.022331 0.000553 1
190 1 0.025857 0.000187 0.002615 0.022448 0.000607 1
200 1 0.025955 0.000177 0.002726 0.022376 0.000676 1
210 1 0.026235 0.00018 0.002886 0.022439 0.00073 1
220 1 0.026374 0.000178 0.002966 0.022429 0.000801 1
230 1 0.026625 0.000185 0.003136 0.022444 0.00086 1
240 1 0.026782 0.00018 0.003256 0.022422 0.000924 1
250 1 0.026988 0.000182 0.003387 0.022429 0.00099 1
260 1 0.027212 0.000176 0.003514 0.022456 0.001066 1
270 1 0.027438 0.000176 0.003631 0.022492 0.001139 1
280 1 0.02763 0.000175 0.003785 0.022456 0.001214 1
290 1 0.027882 0.000182 0.00389 0.022514 0.001296 1
300 1 0.028005 0.000175 0.003987 0.022466 0.001377 1
310 1 0.028312 0.000183 0.004119 0.022541 0.001469 1
320 1 0.028533 0.000179 0.004283 0.022513 0.001558 1
330 1 0.028715 0.000181 0.004368 0.022514 0.001652 1
340 1 0.028954 0.000178 0.004491 0.022535 0.00175 1
350 1 0.029266 0.000181 0.004631 0.022613 0.001841 1
360 1 0.029474 0.000175 0.004786 0.022569 0.001944 1
