"Number of Particles" "Step time" "Emission time" "LBM step time" "Update time"
100 1.29122 3.2e-05 1.29096 0.000221
200 1.29197 1.9e-05 1.29116 0.000798
300 1.29197 1.6e-05 1.29021 0.001749
400 1.29438 1.7e-05 1.29128 0.003086
500 1.29434 1.7e-05 1.28956 0.004764
600 1.29635 1.7e-05 1.28948 0.006849
700 1.29912 1.7e-05 1.28983 0.009275
800 1.30128 1.7e-05 1.28916 0.0121
900 1.30488 1.6e-05 1.28968 0.015178
1000 1.30861 2.1e-05 1.28989 0.018701
1100 1.31177 1.7e-05 1.28917 0.022582
1200 1.31454 1.6e-05 1.28778 0.026746
1300 1.31911 1.8e-05 1.28774 0.031351
1400 1.32393 1.8e-05 1.28753 0.036378
1500 1.32941 1.7e-05 1.2878 0.041593
1600 1.33537 1.6e-05 1.28794 0.047411
1700 1.34127 1.8e-05 1.28768 0.053573
1800 1.35507 1.7e-05 1.29494 0.060113
1900 1.35466 1.8e-05 1.28776 0.066883
2000 1.3617 1.7e-05 1.28761 0.074076
2100 1.36948 1.8e-05 1.28773 0.081735
2200 1.37792 1.7e-05 1.28826 0.089646
2300 1.38556 1.7e-05 1.28759 0.097958
2400 1.39503 1.7e-05 1.28799 0.10702
2500 1.4052 1.6e-05 1.28924 0.115941
2600 1.41296 1.8e-05 1.2877 0.125234
2700 1.42296 1.8e-05 1.28784 0.135109
2800 1.43287 1.7e-05 1.28764 0.145212
2900 1.44324 1.7e-05 1.28777 0.155458
3000 1.4538 1.7e-05 1.28757 0.166214
3100 1.46492 1.8e-05 1.28777 0.177137
3200 1.47669 1.8e-05 1.28812 0.188549
3300 1.48799 1.8e-05 1.28766 0.200304
3400 1.5003 1.7e-05 1.28771 0.212581
3500 1.51315 1.8e-05 1.28797 0.225157
3600 1.52668 1.7e-05 1.28826 0.238401
3700 1.54014 1.8e-05 1.28805 0.252076
3800 1.55359 1.6e-05 1.2876 0.26597
3900 1.56793 1.6e-05 1.28781 0.280103
4000 1.58229 1.6e-05 1.28769 0.294581
4100 1.59724 1.7e-05 1.28776 0.309461
4200 1.61252 1.7e-05 1.28777 0.324727
4300 1.62793 1.6e-05 1.28772 0.34019
4400 1.6442 1.7e-05 1.28776 0.356422
4500 1.66289 1.6e-05 1.29012 0.372751
4600 1.6772 1.7e-05 1.28769 0.389494
4700 1.69473 1.7e-05 1.28772 0.406987
4800 1.71292 1.7e-05 1.28801 0.424894
4900 1.73103 1.7e-05 1.28771 0.443302
5000 1.7489 1.7e-05 1.28768 0.461209
5100 1.76763 1.8e-05 1.2881 0.479513
5200 1.78679 1.7e-05 1.28766 0.499114
5300 1.84635 1.7e-05 1.30766 0.538669
5400 1.84641 1.7e-05 1.28811 0.558285
5500 1.86555 1.7e-05 1.29196 0.573578
5600 1.90659 1.7e-05 1.30673 0.599845
5700 1.90757 1.7e-05 1.28785 0.619706
5800 1.9281 1.6e-05 1.3067 0.621381
5900 1.97255 1.7e-05 1.30925 0.663284
6000 1.9729 1.7e-05 1.28772 0.685156
6100 2.01713 1.7e-05 1.30797 0.709145
6200 2.01848 1.7e-05 1.28759 0.730874
6300 2.08013 1.7e-05 1.3227 0.757419
6400 2.06638 1.7e-05 1.28862 0.777747
6500 2.10719 1.7e-05 1.30673 0.80045
6600 2.11278 1.7e-05 1.28783 0.824934
6700 2.15661 1.7e-05 1.3077 0.848893
6800 2.16275 1.7e-05 1.28801 0.874722
6900 2.20783 1.7e-05 1.30821 0.899609
7000 2.23368 1.7e-05 1.30771 0.925956
7100 2.23944 1.7e-05 1.30778 0.931647
7200 2.28532 1.7e-05 1.30778 0.977525
7300 2.30947 1.6e-05 1.29447 1.01499
7400 2.32782 2.2e-05 1.29599 1.03181
7500 2.36699 1.7e-05 1.30775 1.05922
7600 2.3942 1.7e-05 1.30777 1.08641
7700 2.41661 1.8e-05 1.28768 1.12891
7800 2.47574 1.7e-05 1.30778 1.16794
7900 2.50526 1.7e-05 1.30861 1.19663
8000 2.53557 1.7e-05 1.30777 1.22778
8100 2.56786 1.8e-05 1.29669 1.27115
8200 2.59812 1.8e-05 1.28774 1.31036
8300 2.61009 1.8e-05 1.28778 1.32229
8400 2.66005 1.8e-05 1.30773 1.3523
8500 2.69564 1.7e-05 1.3078 1.38781
8600 2.72752 1.8e-05 1.30774 1.41976
8700 2.76086 1.7e-05 1.30874 1.4521
8800 2.79272 1.7e-05 1.30682 1.48589
8900 2.82555 1.7e-05 1.30782 1.51771
9000 2.86008 1.8e-05 1.3078 1.55226
9100 2.91452 1.7e-05 1.30873 1.60577
9200 2.93031 1.7e-05 1.28765 1.64265
9300 2.96194 1.7e-05 1.28764 1.67429
9400 2.99565 1.8e-05 1.29326 1.70237
9500 3.06661 1.7e-05 1.31 1.75659
9600 3.0688 1.8e-05 1.30898 1.7598
9700 3.12314 1.7e-05 1.30767 1.81545
9800 3.13881 1.8e-05 1.28772 1.85107
9900 3.19752 1.7e-05 1.30813 1.88937
10000 3.25212 1.7e-05 1.30769 1.94441
