"Number of Particles" "Sprites per particle" "Step time" "Emission time" "Rendering time" "LBM step time" "Update time" "FPS"
20 8 0.023388 0.000373 0.002161 0.020783 7.1e-05 1
40 8 0.026239 0.000347 0.003817 0.02194 0.000135 1
60 8 0.028711 0.000505 0.005563 0.022429 0.000214 1
80 8 0.029997 0.000513 0.007228 0.021951 0.000305 1
100 8 0.032124 0.000501 0.009266 0.021948 0.000409 1
120 8 0.034396 0.000505 0.010415 0.02296 0.000516 1
140 8 0.035741 0.000486 0.013833 0.020771 0.000651 1
160 8 0.037006 0.000496 0.014945 0.020789 0.000776 1
180 8 0.040073 0.000626 0.017148 0.021384 0.000915 1
200 8 0.041345 0.000486 0.018365 0.021399 0.001095 1
220 8 0.04314 0.000492 0.019974 0.02139 0.001284 1
240 8 0.045138 0.000493 0.021761 0.0214 0.001484 1
260 8 0.047131 0.000494 0.023535 0.021383 0.001719 1
280 8 0.048845 0.000475 0.025054 0.021382 0.001934 1
300 8 0.050807 0.000497 0.026747 0.021379 0.002184 1
320 8 0.052726 0.000496 0.028431 0.021377 0.002422 1
340 8 0.054569 0.000499 0.030003 0.021368 0.002699 1
360 8 0.056582 0.000495 0.031757 0.02137 0.00296 1
380 8 0.058548 0.00049 0.033454 0.021339 0.003265 1
400 8 0.064501 0.000483 0.039662 0.020785 0.003571 1
420 8 0.071087 0.000492 0.045951 0.020779 0.003865 1
440 8 0.073891 0.000494 0.04837 0.020848 0.004179 1
460 8 0.075356 0.000344 0.049702 0.020794 0.004516 1
480 8 0.080544 0.003135 0.051766 0.02079 0.004853 1
500 8 0.084531 0.000346 0.058209 0.020772 0.005204 1
520 8 0.086799 0.003651 0.056791 0.020788 0.005569 1
540 8 0.09078 0.001826 0.062218 0.020771 0.005965 1
560 8 0.094748 0.001983 0.06548 0.020941 0.006344 1
580 8 0.097144 0.000346 0.069252 0.020794 0.006752 18
600 8 0.101841 0.001065 0.07282 0.02079 0.007166 18
620 8 0.105197 0.004551 0.072272 0.020773 0.007601 18
640 8 0.108749 0.001342 0.078406 0.020975 0.008026 18
660 8 0.11159 0.000347 0.081958 0.020796 0.008489 18
680 8 0.113633 0.000353 0.083518 0.020813 0.008949 18
700 8 0.117179 0.000348 0.086625 0.020771 0.009435 18
720 8 0.12245 0.000345 0.091233 0.020951 0.009921 18
740 8 0.124184 0.002115 0.090878 0.020765 0.010426 18
760 8 0.129486 0.000344 0.097424 0.020787 0.010931 18
780 8 0.133878 0.003126 0.098461 0.020784 0.011507 18
