"Number of Particles" "Sprites per particle" "Step time" "Emission time" "Rendering time" "LBM step time" "Update time" "FPS"
20 1 0.021899 0.000122 0.000821 0.020928 2.8e-05 1
40 1 0.026428 7.7e-05 0.003518 0.02278 5.3e-05 1
60 1 0.023961 7.9e-05 0.001 0.022791 9.1e-05 1
80 1 0.02515 7.3e-05 0.002211 0.022727 0.000139 1
100 1 0.024451 7.6e-05 0.001395 0.022781 0.000199 1
120 1 0.022795 7.6e-05 0.001621 0.02083 0.000268 1
140 1 0.022854 7.2e-05 0.001611 0.020824 0.000347 1
160 1 0.023134 8.6e-05 0.001807 0.020798 0.000443 1
180 1 0.023494 9.1e-05 0.002048 0.020811 0.000544 1
200 1 0.023749 8.7e-05 0.002208 0.020784 0.00067 1
220 1 0.024119 9.1e-05 0.002434 0.0208 0.000794 1
240 1 0.024425 8.6e-05 0.002566 0.020859 0.000914 1
260 1 0.024799 8.8e-05 0.002844 0.020808 0.001059 1
280 1 0.025108 9.3e-05 0.003002 0.020789 0.001224 1
300 1 0.025483 9.4e-05 0.003195 0.020817 0.001377 1
320 1 0.025837 8.8e-05 0.003405 0.02079 0.001554 1
340 1 0.026225 8.7e-05 0.003593 0.020806 0.001739 1
360 1 0.026621 8.5e-05 0.003787 0.020803 0.001946 1
380 1 0.027027 9.2e-05 0.003982 0.020805 0.002148 1
400 1 0.027364 8.7e-05 0.004129 0.020789 0.002359 1
420 1 0.02789 9.8e-05 0.004371 0.020816 0.002605 1
440 1 0.028233 9e-05 0.004513 0.020802 0.002828 1
460 1 0.0287 8.7e-05 0.004731 0.020802 0.00308 1
480 1 0.02922 8.7e-05 0.004985 0.020802 0.003346 1
500 1 0.029641 8.1e-05 0.005145 0.020805 0.00361 1
520 1 0.030191 9.4e-05 0.00541 0.02079 0.003897 1
540 1 0.030694 7.7e-05 0.0056 0.020824 0.004193 1
560 1 0.031164 8.2e-05 0.005789 0.020796 0.004497 1
580 1 0.031683 8.8e-05 0.005981 0.020808 0.004806 1
600 1 0.032169 7.9e-05 0.006161 0.020791 0.005138 1
620 1 0.032752 7.9e-05 0.006406 0.020801 0.005466 1
640 1 0.033235 8.5e-05 0.006565 0.020781 0.005804 1
660 1 0.033894 8.9e-05 0.006833 0.020797 0.006175 1
680 1 0.034409 8e-05 0.006985 0.020797 0.006547 1
700 1 0.035069 8.1e-05 0.007278 0.020801 0.006909 1
720 1 0.035557 9.1e-05 0.007374 0.020804 0.007288 1
740 1 0.036177 8.1e-05 0.007604 0.0208 0.007692 1
760 1 0.036817 8.6e-05 0.007821 0.020787 0.008123 1
780 1 0.037369 8e-05 0.007949 0.020794 0.008546 1
800 1 0.038102 7.8e-05 0.008176 0.020879 0.008969 1
820 1 0.038652 7.6e-05 0.008348 0.020796 0.009432 1
840 1 0.039333 9.3e-05 0.008589 0.020783 0.009868 1
860 1 0.039957 7.3e-05 0.008703 0.020846 0.010335 1
880 1 0.040635 7.5e-05 0.008956 0.02079 0.010814 1
900 1 0.041287 8e-05 0.009103 0.020805 0.011299 1
920 1 0.042045 7.7e-05 0.009328 0.020849 0.011791 1
940 1 0.042928 7.7e-05 0.009559 0.020989 0.012303 1
960 1 0.043414 7.9e-05 0.009729 0.020788 0.012818 1
