"Number of Particles" "Sprites per particle" "Step time" "Emission time" "Rendering time" "LBM step time" "Update time"
8700 2 6.31743 0.000462 0.209481 0.018929 6.08856 1
8800 2 6.51381 0.000462 0.19178 0.018923 6.30265 1
8900 2 6.63677 0.000459 0.201149 0.018923 6.41624 1
9000 2 6.85311 0.001677 0.20157 0.019137 6.63073 1
9100 2 7.03838 0.000593 0.205015 0.018931 6.81384 1
9200 2 7.20115 0.001687 0.215059 0.019018 6.96538 1
9300 2 7.38463 0.000566 0.208722 0.018935 7.1564 1
9400 2 7.58221 0.000567 0.207211 0.018915 7.35551 1
9500 2 7.73208 0.000567 0.208483 0.018951 7.50408 1
9600 2 8.38281 0.00057 0.229801 0.018906 8.13354 1
9700 2 8.05352 0.000573 0.210907 0.018925 7.82312 1
9800 2 8.23822 0.000573 0.221049 0.019068 7.99753 1
9900 2 8.45537 0.000572 0.216558 0.0189 8.21934 1
10000 2 8.62622 0.000567 0.218592 0.018978 8.38808 1
